Fixed/Offset Slit,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,
Detector,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,

280.00,3.31108665E+1,9.93325958E+1,1.65554337E+2,1.32443466E+2,0.00000000E+0,9.93325958E+1,0.00000000E+0,6.62217331E+1,9.93325958E+1,9.93325958E+1,9.93325958E+1,2.31776062E+2,3.31108665E+1,3.31108665E+1,1.32443466E+2,3.31108665E+1,6.62217331E+1,6.62217331E+1,3.31108665E+1,9.93325958E+1,9.93325958E+1,3.31108665E+1,0.00000000E+0,6.62217331E+1,3.31108665E+1,1.65554337E+2,1.32443466E+2,0.00000000E+0,9.93325958E+1,6.62217331E+1,0.00000000E+0,3.31108665E+1,
281.00,0.00000000E+0,2.46905487E+2,1.23452744E+2,6.17263718E+1,6.17263718E+1,9.25895538E+1,0.00000000E+0,9.25895538E+1,6.17263718E+1,6.17263718E+1,1.54315933E+2,1.23452744E+2,1.54315933E+2,6.17263718E+1,3.08631859E+1,1.54315933E+2,3.08631859E+1,9.25895538E+1,6.17263718E+1,1.23452744E+2,0.00000000E+0,0.00000000E+0,3.08631859E+1,9.25895538E+1,6.17263718E+1,2.16042297E+2,6.17263718E+1,6.17263718E+1,6.17263718E+1,3.08631859E+1,9.25895538E+1,6.17263718E+1,
282.00,2.88499775E+1,8.65499344E+1,8.65499344E+1,5.76999550E+1,1.15399910E+2,1.44249893E+2,8.65499344E+1,5.76999550E+1,5.76999550E+1,5.76999550E+1,1.73099869E+2,0.00000000E+0,5.76999550E+1,2.88499775E+1,5.76999550E+1,2.88499775E+1,5.76999550E+1,1.15399910E+2,0.00000000E+0,8.65499344E+1,5.76999550E+1,0.00000000E+0,2.88499775E+1,1.15399910E+2,5.76999550E+1,8.65499344E+1,2.88499775E+1,0.00000000E+0,0.00000000E+0,2.88499775E+1,2.88499775E+1,2.88499775E+1,
283.00,2.70352955E+1,2.70352955E+1,5.40705910E+1,0.00000000E+0,0.00000000E+0,5.40705910E+1,2.70352955E+1,8.11058884E+1,5.40705910E+1,1.08141182E+2,5.40705910E+1,5.40705910E+1,0.00000000E+0,0.00000000E+0,8.11058884E+1,1.62211777E+2,1.08141182E+2,1.08141182E+2,8.11058884E+1,2.70352955E+1,2.70352955E+1,1.08141182E+2,5.40705910E+1,0.00000000E+0,0.00000000E+0,0.00000000E+0,2.70352955E+1,8.11058884E+1,8.11058884E+1,0.00000000E+0,1.62211777E+2,8.11058884E+1,
284.00,2.53915157E+1,2.53915157E+1,7.61745529E+1,5.07830315E+1,7.61745529E+1,1.01566063E+2,2.53915157E+1,5.07830315E+1,5.07830315E+1,2.53915157E+1,5.07830315E+1,7.61745529E+1,1.77740616E+2,2.53915157E+1,7.61745529E+1,1.52349106E+2,5.07830315E+1,5.07830315E+1,2.53915157E+1,1.26957581E+2,5.07830315E+1,0.00000000E+0,5.07830315E+1,0.00000000E+0,2.53915157E+1,2.53915157E+1,2.53915157E+1,1.26957581E+2,5.07830315E+1,1.01566063E+2,7.61745529E+1,7.61745529E+1,
285.00,2.39059200E+1,2.39059200E+1,4.78118401E+1,9.56236801E+1,2.39059200E+1,2.39059200E+1,9.56236801E+1,2.39059200E+1,4.78118401E+1,9.56236801E+1,7.17177582E+1,7.17177582E+1,7.17177582E+1,7.17177582E+1,4.78118401E+1,7.17177582E+1,9.56236801E+1,2.39059200E+1,4.78118401E+1,2.39059200E+1,2.39059200E+1,2.39059200E+1,4.78118401E+1,9.56236801E+1,4.78118401E+1,9.56236801E+1,4.78118401E+1,4.78118401E+1,4.78118401E+1,7.17177582E+1,2.39059200E+1,4.78118401E+1,
286.00,4.51499901E+1,6.77249832E+1,1.35449966E+2,6.77249832E+1,4.51499901E+1,0.00000000E+0,2.25749950E+1,6.77249832E+1,6.77249832E+1,4.51499901E+1,0.00000000E+0,9.02999802E+1,0.00000000E+0,6.77249832E+1,6.77249832E+1,4.51499901E+1,9.02999802E+1,4.51499901E+1,4.51499901E+1,6.77249832E+1,1.12874977E+2,4.51499901E+1,6.77249832E+1,9.02999802E+1,6.77249832E+1,6.77249832E+1,4.51499901E+1,4.51499901E+1,4.51499901E+1,4.51499901E+1,4.51499901E+1,6.77249832E+1,
287.00,4.27731323E+1,2.13865662E+1,6.41596985E+1,6.41596985E+1,6.41596985E+1,6.41596985E+1,1.06932831E+2,8.55462646E+1,8.55462646E+1,2.13865662E+1,4.27731323E+1,1.06932831E+2,6.41596985E+1,8.55462646E+1,0.00000000E+0,2.13865662E+1,4.27731323E+1,6.41596985E+1,0.00000000E+0,4.27731323E+1,0.00000000E+0,2.13865662E+1,2.13865662E+1,4.27731323E+1,1.06932831E+2,4.27731323E+1,8.55462646E+1,0.00000000E+0,1.92479095E+2,0.00000000E+0,6.41596985E+1,0.00000000E+0,
288.00,2.03310394E+1,2.03310394E+1,6.09931183E+1,1.42317276E+2,0.00000000E+0,1.21986237E+2,2.03310394E+1,6.09931183E+1,8.13241577E+1,6.09931183E+1,6.09931183E+1,1.21986237E+2,6.09931183E+1,6.09931183E+1,2.03310394E+1,4.06620789E+1,8.13241577E+1,6.09931183E+1,1.01655197E+2,2.03310394E+1,4.06620789E+1,4.06620789E+1,2.03310394E+1,6.09931183E+1,2.03310394E+1,4.06620789E+1,2.03310394E+1,8.13241577E+1,2.03310394E+1,6.09931183E+1,4.06620789E+1,1.01655197E+2,
289.00,7.75846710E+1,1.93961678E+1,1.93961678E+1,3.87923355E+1,1.93961678E+1,3.87923355E+1,5.81885033E+1,7.75846710E+1,0.00000000E+0,1.93961678E+1,5.81885033E+1,3.87923355E+1,7.75846710E+1,7.75846710E+1,5.81885033E+1,1.93961678E+1,1.93961678E+1,1.93961678E+1,7.75846710E+1,1.93961678E+1,9.69808426E+1,1.93961678E+1,5.81885033E+1,5.81885033E+1,9.69808426E+1,7.75846710E+1,3.87923355E+1,5.81885033E+1,3.87923355E+1,0.00000000E+0,5.81885033E+1,3.87923355E+1,
290.00,1.85637054E+1,3.71274109E+1,5.56911163E+1,9.28185272E+1,5.56911163E+1,1.29945938E+2,0.00000000E+0,3.71274109E+1,3.71274109E+1,3.71274109E+1,5.56911163E+1,0.00000000E+0,9.28185272E+1,5.56911163E+1,1.85637054E+1,0.00000000E+0,9.28185272E+1,3.71274109E+1,9.28185272E+1,1.85637054E+1,7.42548218E+1,3.71274109E+1,9.28185272E+1,1.85637054E+1,5.56911163E+1,3.71274109E+1,3.71274109E+1,1.85637054E+1,0.00000000E+0,7.42548218E+1,1.85637054E+1,1.85637054E+1,
291.00,0.00000000E+0,1.78157558E+1,8.90787735E+1,0.00000000E+0,1.78157558E+1,0.00000000E+0,8.90787735E+1,0.00000000E+0,1.78157558E+1,8.90787735E+1,1.78157558E+1,5.34472656E+1,3.56315117E+1,5.34472656E+1,1.78157558E+1,5.34472656E+1,3.56315117E+1,0.00000000E+0,3.56315117E+1,3.56315117E+1,5.34472656E+1,3.56315117E+1,8.90787735E+1,0.00000000E+0,1.78157558E+1,3.56315117E+1,1.78157558E+1,5.34472656E+1,7.12630234E+1,3.56315117E+1,1.78157558E+1,1.78157558E+1,
292.00,6.85049057E+1,1.71262264E+1,0.00000000E+0,5.13786774E+1,1.71262264E+1,1.71262264E+1,1.71262264E+1,5.13786774E+1,1.02757355E+2,0.00000000E+0,3.42524529E+1,5.13786774E+1,1.71262264E+1,5.13786774E+1,3.42524529E+1,0.00000000E+0,3.42524529E+1,0.00000000E+0,8.56311264E+1,1.02757355E+2,6.85049057E+1,0.00000000E+0,1.71262264E+1,3.42524529E+1,5.13786774E+1,0.00000000E+0,5.13786774E+1,1.71262264E+1,1.19883583E+2,1.37009811E+2,1.71262264E+1,3.42524529E+1,
293.00,3.29499435E+1,1.31799774E+2,4.94249153E+1,3.29499435E+1,0.00000000E+0,8.23748550E+1,3.29499435E+1,4.94249153E+1,1.64749718E+1,0.00000000E+0,4.94249153E+1,1.31799774E+2,1.15324799E+2,3.29499435E+1,1.64749718E+1,6.58998871E+1,1.64749718E+1,6.58998871E+1,3.29499435E+1,1.64749718E+1,3.29499435E+1,4.94249153E+1,3.29499435E+1,6.58998871E+1,3.29499435E+1,4.94249153E+1,1.64749718E+1,3.29499435E+1,0.00000000E+0,1.64749718E+1,0.00000000E+0,3.29499435E+1,
294.00,1.58520899E+1,3.17041798E+1,4.75562706E+1,0.00000000E+0,6.34083595E+1,4.75562706E+1,0.00000000E+0,3.17041798E+1,1.58520899E+1,4.75562706E+1,0.00000000E+0,4.75562706E+1,6.34083595E+1,6.34083595E+1,1.58520899E+1,3.17041798E+1,6.34083595E+1,6.34083595E+1,6.34083595E+1,1.58520899E+1,6.34083595E+1,0.00000000E+0,3.17041798E+1,0.00000000E+0,3.17041798E+1,0.00000000E+0,0.00000000E+0,3.17041798E+1,3.17041798E+1,0.00000000E+0,0.00000000E+0,0.00000000E+0,
295.00,3.04979057E+1,4.57468567E+1,0.00000000E+0,1.52489529E+1,1.52489529E+1,7.62447662E+1,3.04979057E+1,3.04979057E+1,1.67738480E+2,3.04979057E+1,4.57468567E+1,0.00000000E+0,4.57468567E+1,6.09958115E+1,4.57468567E+1,3.04979057E+1,0.00000000E+0,3.04979057E+1,0.00000000E+0,3.04979057E+1,3.04979057E+1,6.09958115E+1,3.04979057E+1,4.57468567E+1,4.57468567E+1,6.09958115E+1,1.52489529E+1,3.04979057E+1,0.00000000E+0,6.09958115E+1,6.09958115E+1,6.09958115E+1,
296.00,2.93226070E+1,0.00000000E+0,2.93226070E+1,4.39839134E+1,5.86452141E+1,5.86452141E+1,2.93226070E+1,2.93226070E+1,1.46613035E+1,4.39839134E+1,5.86452141E+1,2.93226070E+1,4.39839134E+1,5.86452141E+1,1.46613035E+1,0.00000000E+0,5.86452141E+1,2.93226070E+1,2.93226070E+1,4.39839134E+1,2.93226070E+1,8.79678268E+1,1.46613035E+1,1.02629128E+2,0.00000000E+0,2.93226070E+1,1.46613035E+1,5.86452141E+1,0.00000000E+0,1.46613035E+1,4.39839134E+1,1.46613035E+1,
297.00,1.40905857E+1,7.04529266E+1,1.40905857E+1,5.63623428E+1,7.04529266E+1,1.40905857E+1,1.40905857E+1,4.22717552E+1,0.00000000E+0,7.04529266E+1,4.22717552E+1,5.63623428E+1,7.04529266E+1,5.63623428E+1,1.40905857E+1,4.22717552E+1,4.22717552E+1,5.63623428E+1,0.00000000E+0,7.04529266E+1,4.22717552E+1,2.81811714E+1,9.86340942E+1,5.63623428E+1,4.22717552E+1,1.40905857E+1,2.81811714E+1,1.40905857E+1,1.40905857E+1,4.22717552E+1,1.40905857E+1,1.40905857E+1,
298.00,1.35372553E+1,1.35372553E+1,2.70745106E+1,1.35372553E+1,4.06117668E+1,5.41490211E+1,2.70745106E+1,1.35372553E+1,9.47607880E+1,1.35372553E+1,1.35372553E+1,0.00000000E+0,6.76862717E+1,4.06117668E+1,1.35372553E+1,9.47607880E+1,1.35372553E+1,4.06117668E+1,4.06117668E+1,4.06117668E+1,2.70745106E+1,1.35372553E+1,0.00000000E+0,1.35372553E+1,2.70745106E+1,5.41490211E+1,1.35372553E+1,5.41490211E+1,5.41490211E+1,1.35372553E+1,1.35372553E+1,4.06117668E+1,
299.00,2.60123959E+1,2.60123959E+1,1.30061979E+1,0.00000000E+0,1.30061979E+1,6.50309906E+1,3.90185928E+1,1.30061979E+1,3.90185928E+1,2.60123959E+1,3.90185928E+1,2.60123959E+1,5.20247917E+1,6.50309906E+1,1.30061979E+1,5.20247917E+1,3.90185928E+1,3.90185928E+1,3.90185928E+1,2.60123959E+1,2.60123959E+1,0.00000000E+0,0.00000000E+0,5.20247917E+1,2.60123959E+1,3.90185928E+1,0.00000000E+0,0.00000000E+0,0.00000000E+0,1.30061979E+1,5.20247917E+1,2.60123959E+1,
300.00,2.49985828E+1,0.00000000E+0,0.00000000E+0,2.49985828E+1,7.49957504E+1,1.24992914E+1,2.49985828E+1,3.74978752E+1,1.24992914E+1,3.74978752E+1,0.00000000E+0,4.99971657E+1,1.24992914E+1,3.74978752E+1,2.49985828E+1,2.49985828E+1,4.99971657E+1,1.24992914E+1,1.24992914E+1,2.49985828E+1,1.24992914E+1,2.49985828E+1,1.24992914E+1,1.24992914E+1,2.49985828E+1,4.99971657E+1,3.74978752E+1,1.24992914E+1,4.99971657E+1,0.00000000E+0,7.49957504E+1,6.24964561E+1,
301.00,1.20217896E+1,2.40435791E+1,3.60653687E+1,2.40435791E+1,3.60653687E+1,2.40435791E+1,0.00000000E+0,4.80871582E+1,0.00000000E+0,7.21307373E+1,1.20217896E+1,4.80871582E+1,2.40435791E+1,2.40435791E+1,1.20217896E+1,6.01089478E+1,3.60653687E+1,4.80871582E+1,4.80871582E+1,3.60653687E+1,3.60653687E+1,1.20217896E+1,2.40435791E+1,2.40435791E+1,3.60653687E+1,1.20217896E+1,3.60653687E+1,0.00000000E+0,0.00000000E+0,1.20217896E+1,4.80871582E+1,1.20217896E+1,
302.00,1.15784616E+1,2.31569233E+1,1.15784616E+1,3.47353859E+1,3.47353859E+1,3.47353859E+1,2.31569233E+1,3.47353859E+1,0.00000000E+0,1.15784616E+1,0.00000000E+0,2.31569233E+1,3.47353859E+1,1.15784616E+1,5.78923111E+1,0.00000000E+0,4.63138466E+1,2.31569233E+1,0.00000000E+0,1.15784616E+1,3.47353859E+1,3.47353859E+1,1.15784616E+1,2.31569233E+1,4.63138466E+1,1.15784616E+1,1.15784616E+1,2.31569233E+1,1.15784616E+1,4.63138466E+1,0.00000000E+0,2.31569233E+1,
303.00,2.23427925E+1,0.00000000E+0,4.46855850E+1,6.70283813E+1,2.23427925E+1,2.23427925E+1,0.00000000E+0,2.23427925E+1,0.00000000E+0,1.11713963E+1,0.00000000E+0,3.35141907E+1,3.35141907E+1,2.23427925E+1,4.46855850E+1,2.23427925E+1,1.11713963E+1,6.70283813E+1,2.23427925E+1,2.23427925E+1,3.35141907E+1,8.93711700E+1,2.23427925E+1,0.00000000E+0,2.23427925E+1,5.58569832E+1,5.58569832E+1,1.11713963E+1,3.35141907E+1,1.11713963E+1,2.23427925E+1,3.35141907E+1,
304.00,1.08004026E+1,2.16008053E+1,1.08004026E+1,4.32016106E+1,3.24012070E+1,0.00000000E+0,1.08004026E+1,2.16008053E+1,1.08004026E+1,4.32016106E+1,4.32016106E+1,5.40020142E+1,2.16008053E+1,0.00000000E+0,4.32016106E+1,5.40020142E+1,4.32016106E+1,2.16008053E+1,4.32016106E+1,2.16008053E+1,1.08004026E+1,3.24012070E+1,0.00000000E+0,3.24012070E+1,3.24012070E+1,2.16008053E+1,0.00000000E+0,5.40020142E+1,4.32016106E+1,1.08004026E+1,3.24012070E+1,2.16008053E+1,
305.00,3.13873081E+1,2.09248714E+1,0.00000000E+0,5.23121796E+1,2.09248714E+1,2.09248714E+1,3.13873081E+1,0.00000000E+0,1.04624357E+1,0.00000000E+0,0.00000000E+0,1.04624357E+1,2.09248714E+1,1.04624357E+1,2.09248714E+1,0.00000000E+0,3.13873081E+1,7.32370529E+1,2.09248714E+1,2.09248714E+1,3.13873081E+1,2.09248714E+1,1.04624357E+1,2.09248714E+1,3.13873081E+1,1.04624357E+1,2.09248714E+1,2.09248714E+1,2.09248714E+1,2.09248714E+1,6.27746162E+1,3.13873081E+1,
306.00,3.04699879E+1,1.01566629E+1,1.01566629E+1,2.03133259E+1,1.01566629E+1,2.03133259E+1,3.04699879E+1,2.03133259E+1,1.01566629E+1,3.04699879E+1,0.00000000E+0,0.00000000E+0,0.00000000E+0,0.00000000E+0,2.03133259E+1,2.03133259E+1,0.00000000E+0,2.03133259E+1,7.10966415E+1,3.04699879E+1,0.00000000E+0,3.04699879E+1,2.03133259E+1,0.00000000E+0,1.01566629E+1,0.00000000E+0,2.03133259E+1,2.03133259E+1,4.06266518E+1,2.03133259E+1,3.04699879E+1,2.03133259E+1,
307.00,9.88163853E+0,0.00000000E+0,9.88163853E+0,1.97632771E+1,2.96449146E+1,1.97632771E+1,9.88163853E+0,9.88163853E+0,1.97632771E+1,9.88163853E+0,3.95265541E+1,1.97632771E+1,2.96449146E+1,1.97632771E+1,0.00000000E+0,3.95265541E+1,9.88163853E+0,3.95265541E+1,3.95265541E+1,1.97632771E+1,2.96449146E+1,2.96449146E+1,4.94081917E+1,1.97632771E+1,1.97632771E+1,0.00000000E+0,9.88163853E+0,9.88163853E+0,3.95265541E+1,3.95265541E+1,1.97632771E+1,2.96449146E+1,
308.00,4.81823158E+1,0.00000000E+0,1.92729263E+1,1.92729263E+1,1.92729263E+1,2.89093895E+1,9.63646317E+0,3.85458527E+1,9.63646317E+0,2.89093895E+1,0.00000000E+0,1.92729263E+1,9.63646317E+0,9.63646317E+0,2.89093895E+1,9.63646317E+0,9.63646317E+0,2.89093895E+1,1.92729263E+1,1.92729263E+1,3.85458527E+1,0.00000000E+0,0.00000000E+0,9.63646317E+0,4.81823158E+1,4.81823158E+1,1.92729263E+1,9.63646317E+0,4.81823158E+1,9.63646317E+0,4.81823158E+1,0.00000000E+0,
309.00,9.41803932E+0,0.00000000E+0,1.88360786E+1,1.88360786E+1,9.41803932E+0,2.82541199E+1,3.76721573E+1,0.00000000E+0,1.88360786E+1,9.41803932E+0,2.82541199E+1,5.65082397E+1,2.82541199E+1,9.41803932E+0,3.76721573E+1,3.76721573E+1,3.76721573E+1,1.88360786E+1,0.00000000E+0,4.70901985E+1,0.00000000E+0,3.76721573E+1,5.65082397E+1,9.41803932E+0,3.76721573E+1,2.82541199E+1,1.88360786E+1,1.88360786E+1,9.41803932E+0,1.88360786E+1,9.41803932E+0,9.41803932E+0,
310.00,1.84446087E+1,0.00000000E+0,4.61115227E+1,9.22230434E+0,9.22230434E+0,2.76669121E+1,3.68892174E+1,9.22230434E+0,1.84446087E+1,2.76669121E+1,1.84446087E+1,9.22230434E+0,9.22230434E+0,0.00000000E+0,1.84446087E+1,5.53338242E+1,2.76669121E+1,1.84446087E+1,6.45561295E+1,0.00000000E+0,3.68892174E+1,1.84446087E+1,1.84446087E+1,0.00000000E+0,0.00000000E+0,1.84446087E+1,1.84446087E+1,9.22230434E+0,3.68892174E+1,4.61115227E+1,1.84446087E+1,0.00000000E+0,
311.00,3.61887894E+1,1.80943947E+1,0.00000000E+0,0.00000000E+0,1.80943947E+1,9.04719734E+0,4.52359886E+1,0.00000000E+0,1.80943947E+1,1.80943947E+1,5.42831841E+1,1.80943947E+1,2.71415920E+1,3.61887894E+1,9.04719734E+0,0.00000000E+0,0.00000000E+0,2.71415920E+1,2.71415920E+1,0.00000000E+0,0.00000000E+0,2.71415920E+1,9.04719734E+0,9.04719734E+0,0.00000000E+0,4.52359886E+1,5.42831841E+1,1.80943947E+1,1.80943947E+1,9.04719734E+0,9.04719734E+0,9.04719734E+0,
312.00,0.00000000E+0,1.77824516E+1,1.77824516E+1,1.77824516E+1,8.89122581E+0,8.89122581E+0,2.66736794E+1,8.89122581E+0,2.66736794E+1,2.66736794E+1,8.89122581E+0,1.77824516E+1,0.00000000E+0,8.89122581E+0,4.44561310E+1,8.89122581E+0,2.66736794E+1,0.00000000E+0,1.77824516E+1,1.77824516E+1,3.55649033E+1,5.33473587E+1,2.66736794E+1,8.89122581E+0,8.89122581E+0,8.89122581E+0,0.00000000E+0,1.77824516E+1,8.89122581E+0,8.89122581E+0,8.89122581E+0,8.89122581E+0,
313.00,8.75446224E+0,3.50178490E+1,1.75089245E+1,8.75446224E+0,8.75446224E+0,8.75446224E+0,0.00000000E+0,0.00000000E+0,1.75089245E+1,8.75446224E+0,1.75089245E+1,0.00000000E+0,8.75446224E+0,0.00000000E+0,1.75089245E+1,1.75089245E+1,8.75446224E+0,8.75446224E+0,0.00000000E+0,1.75089245E+1,1.75089245E+1,1.75089245E+1,1.75089245E+1,1.75089245E+1,8.75446224E+0,8.75446224E+0,8.75446224E+0,0.00000000E+0,1.75089245E+1,1.75089245E+1,0.00000000E+0,3.50178490E+1,
314.00,8.63544464E+0,8.63544464E+0,5.18126678E+1,8.63544464E+0,0.00000000E+0,2.59063339E+1,3.45417786E+1,4.31772232E+1,1.72708893E+1,1.72708893E+1,1.72708893E+1,1.72708893E+1,0.00000000E+0,0.00000000E+0,4.31772232E+1,0.00000000E+0,8.63544464E+0,1.72708893E+1,1.72708893E+1,8.63544464E+0,5.18126678E+1,1.72708893E+1,1.72708893E+1,4.31772232E+1,0.00000000E+0,2.59063339E+1,0.00000000E+0,1.72708893E+1,8.63544464E+0,0.00000000E+0,8.63544464E+0,1.72708893E+1,
315.00,8.53128147E+0,3.41251259E+1,3.41251259E+1,2.55938435E+1,1.70625629E+1,4.26564064E+1,8.53128147E+0,1.70625629E+1,3.41251259E+1,2.55938435E+1,8.53128147E+0,1.70625629E+1,4.26564064E+1,0.00000000E+0,1.70625629E+1,1.70625629E+1,0.00000000E+0,4.26564064E+1,4.26564064E+1,1.70625629E+1,3.41251259E+1,3.41251259E+1,8.53128147E+0,8.53128147E+0,2.55938435E+1,8.53128147E+0,2.55938435E+1,1.70625629E+1,1.70625629E+1,6.82502518E+1,0.00000000E+0,2.55938435E+1,
316.00,8.43832111E+0,1.68766422E+1,3.37532845E+1,0.00000000E+0,0.00000000E+0,1.68766422E+1,8.43832111E+0,0.00000000E+0,1.68766422E+1,1.68766422E+1,2.53149624E+1,1.68766422E+1,3.37532845E+1,2.53149624E+1,0.00000000E+0,3.37532845E+1,3.37532845E+1,0.00000000E+0,0.00000000E+0,2.53149624E+1,8.43832111E+0,2.53149624E+1,1.68766422E+1,8.43832111E+0,1.68766422E+1,3.37532845E+1,2.53149624E+1,3.37532845E+1,0.00000000E+0,0.00000000E+0,8.43832111E+0,3.37532845E+1,
317.00,0.00000000E+0,3.34247437E+1,2.50685577E+1,8.35618591E+0,0.00000000E+0,8.35618591E+0,3.34247437E+1,8.35618591E+0,8.35618591E+0,8.35618591E+0,1.67123718E+1,2.50685577E+1,0.00000000E+0,1.67123718E+1,8.35618591E+0,3.34247437E+1,0.00000000E+0,1.67123718E+1,1.67123718E+1,1.67123718E+1,8.35618591E+0,1.67123718E+1,1.67123718E+1,8.35618591E+0,3.34247437E+1,3.34247437E+1,2.50685577E+1,0.00000000E+0,2.50685577E+1,1.67123718E+1,8.35618591E+0,4.17809296E+1,
318.00,0.00000000E+0,1.65715847E+1,1.65715847E+1,2.48573780E+1,4.97147560E+1,1.65715847E+1,8.28579235E+0,1.65715847E+1,1.65715847E+1,8.28579235E+0,8.28579235E+0,1.65715847E+1,8.28579235E+0,8.28579235E+0,1.65715847E+1,8.28579235E+0,2.48573780E+1,3.31431694E+1,0.00000000E+0,2.48573780E+1,2.48573780E+1,2.48573780E+1,1.65715847E+1,1.65715847E+1,1.65715847E+1,3.31431694E+1,1.65715847E+1,4.14289627E+1,3.31431694E+1,3.31431694E+1,1.65715847E+1,5.80005493E+1,
319.00,0.00000000E+0,2.46811714E+1,1.64541149E+1,4.93623428E+1,3.29082298E+1,8.22705746E+0,1.64541149E+1,8.22705746E+0,2.46811714E+1,0.00000000E+0,2.46811714E+1,8.22705746E+0,1.64541149E+1,3.29082298E+1,2.46811714E+1,3.29082298E+1,1.64541149E+1,0.00000000E+0,1.64541149E+1,1.64541149E+1,3.29082298E+1,4.11352882E+1,2.46811714E+1,0.00000000E+0,2.46811714E+1,0.00000000E+0,0.00000000E+0,2.46811714E+1,1.64541149E+1,8.22705746E+0,1.64541149E+1,8.22705746E+0,
320.00,8.18037701E+0,0.00000000E+0,2.45411320E+1,8.18037701E+0,1.63607540E+1,1.63607540E+1,4.09018860E+1,3.27215080E+1,8.18037701E+0,0.00000000E+0,1.63607540E+1,2.45411320E+1,3.27215080E+1,3.27215080E+1,2.45411320E+1,1.63607540E+1,8.18037701E+0,1.63607540E+1,2.45411320E+1,3.27215080E+1,1.63607540E+1,0.00000000E+0,8.18037701E+0,1.63607540E+1,1.63607540E+1,1.63607540E+1,3.27215080E+1,8.18037701E+0,8.18037701E+0,0.00000000E+0,6.54430161E+1,1.63607540E+1,
321.00,5.70091019E+1,2.44324722E+1,2.44324722E+1,8.14415741E+0,1.62883148E+1,2.44324722E+1,8.14415741E+0,8.14415741E+0,1.62883148E+1,8.14415741E+0,0.00000000E+0,8.14415741E+0,8.14415741E+0,2.44324722E+1,2.44324722E+1,2.44324722E+1,3.25766296E+1,8.14415741E+0,8.14415741E+0,8.14415741E+0,2.44324722E+1,0.00000000E+0,8.14415741E+0,2.44324722E+1,1.62883148E+1,1.62883148E+1,3.25766296E+1,2.44324722E+1,8.14415741E+0,8.14415741E+0,1.62883148E+1,2.44324722E+1,
322.00,1.62297649E+1,0.00000000E+0,2.43446484E+1,0.00000000E+0,8.11488247E+0,3.24595299E+1,3.24595299E+1,1.62297649E+1,0.00000000E+0,5.68041801E+1,8.11488247E+0,5.68041801E+1,3.24595299E+1,0.00000000E+0,2.43446484E+1,1.62297649E+1,0.00000000E+0,4.86892967E+1,8.11488247E+0,8.11488247E+0,8.11488247E+0,1.62297649E+1,8.11488247E+0,0.00000000E+0,8.11488247E+0,8.11488247E+0,2.43446484E+1,2.43446484E+1,2.43446484E+1,3.24595299E+1,1.62297649E+1,1.62297649E+1,
323.00,2.42596092E+1,4.04326820E+1,1.61730728E+1,0.00000000E+0,1.61730728E+1,1.61730728E+1,4.04326820E+1,4.04326820E+1,0.00000000E+0,3.23461456E+1,8.08653641E+0,2.42596092E+1,8.08653641E+0,1.61730728E+1,8.08653641E+0,1.61730728E+1,0.00000000E+0,8.08653641E+0,8.08653641E+0,4.04326820E+1,8.08653641E+0,2.42596092E+1,1.61730728E+1,4.85192184E+1,0.00000000E+0,1.61730728E+1,3.23461456E+1,8.08653641E+0,8.08653641E+0,3.23461456E+1,2.42596092E+1,2.42596092E+1,
324.00,8.05255985E+0,0.00000000E+0,1.61051197E+1,2.41576786E+1,1.61051197E+1,3.22102394E+1,2.41576786E+1,2.41576786E+1,2.41576786E+1,1.61051197E+1,4.02627983E+1,1.61051197E+1,0.00000000E+0,8.05255985E+0,1.61051197E+1,1.61051197E+1,0.00000000E+0,0.00000000E+0,8.05255985E+0,8.05255985E+0,2.41576786E+1,8.05255985E+0,1.61051197E+1,3.22102394E+1,0.00000000E+0,1.61051197E+1,3.22102394E+1,8.05255985E+0,1.61051197E+1,1.61051197E+1,1.61051197E+1,0.00000000E+0,
325.00,8.00546455E+0,8.00546455E+0,2.40163956E+1,1.60109291E+1,8.00546455E+0,2.40163956E+1,2.40163956E+1,8.00546455E+0,2.40163956E+1,8.00546455E+0,1.60109291E+1,8.00546455E+0,1.60109291E+1,4.80327911E+1,1.60109291E+1,1.60109291E+1,1.60109291E+1,3.20218582E+1,4.00273247E+1,3.20218582E+1,1.60109291E+1,3.20218582E+1,8.00546455E+0,3.20218582E+1,0.00000000E+0,8.00546455E+0,0.00000000E+0,2.40163956E+1,8.00546455E+0,3.20218582E+1,1.60109291E+1,8.00546455E+0,
